item_id,source_row,Subject,Level,Country,Question,Context,Option 1,Option 2,Option 3,Option 4,Option 5,n_options,gold,prompt,model_prompt,ref_pred,ref_confidence,ref_margin,ref_entropy,ref_top2,ref_token_length,ref_p1,ref_p2,ref_p3,ref_p4,ref_p5,w8_pred,w8_confidence,w8_margin,w8_entropy,w8_top2,w8_token_length,w8_p1,w8_p2,w8_p3,w8_p4,w8_p5,w4_pred,w4_confidence,w4_margin,w4_entropy,w4_top2,w4_token_length,w4_p1,w4_p2,w4_p3,w4_p4,w4_p5,ref_correct,w8_correct,w4_correct,w8_correct_to_wrong,w4_correct_to_wrong,w8_wrong_to_correct,w4_wrong_to_correct
ammlu_490,490,Islamic Studies,,,ما اسم أم النبي اسماعيل عليه السلام؟,,مريم,مريم,هاجر,سارة,,4,2,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما اسم أم النبي اسماعيل عليه السلام؟

الخيارات:
1) مريم
2) مريم
3) هاجر
4) سارة

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما اسم أم النبي اسماعيل عليه السلام؟

الخيارات:
1) مريم
2) مريم
3) هاجر
4) سارة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.8506605625152588,0.7422627806663513,0.3785778284072876,2,82,0.8506605625152588,0.005179408937692642,0.10839778929948807,0.03576216474175453,0.0,0,0.8079400658607483,0.6675700545310974,0.4469354450702667,2,82,0.8079400658607483,0.005987455137073994,0.14037001132965088,0.04570247232913971,0.0,3,0.9629408121109009,0.94557124376297,0.13857008516788483,2,82,0.016917649656534195,0.0027719310019165277,0.0173695869743824,0.9629408121109009,0.0,False,False,False,False,False,False,False
ammlu_13241,13241,Islamic Studies,Primary,Jordan, سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...,,كتاب الوحي ,الخلفاء الراشدين ,المهاجرين,الأنصار,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...

الخيارات:
1) كتاب الوحي
2) الخلفاء الراشدين
3) المهاجرين
4) الأنصار

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...

الخيارات:
1) كتاب الوحي
2) الخلفاء الراشدين
3) المهاجرين
4) الأنصار

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.5183846950531006,0.07064148783683777,0.5929254293441772,1,96,0.5183846950531006,0.4477432072162628,0.03210781514644623,0.0017642987659201026,0.0,1,0.5487903356552124,0.13882938027381897,0.6017075181007385,0,96,0.40996095538139343,0.5487903356552124,0.03932257741689682,0.0019261320121586323,0.0,3,0.9272042512893677,0.892848014831543,0.23973913490772247,0,96,0.034356240183115005,0.009234986267983913,0.029204461723566055,0.9272042512893677,0.0,True,False,False,True,True,False,False
ammlu_12640,12640,Arabic Language (Grammar),,,"في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ",,مضاف إليه مجرور وعلامة جره الكسرة,اسم مجرور بحرف الجر وعلامة جره الكسرة,فعل أمر مبني على السكون,حرف جر مبني على الكسر,فعل ماض مبنى على الفتح المقدر,5,2,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ

الخيارات:
1) مضاف إليه مجرور وعلامة جره الكسرة
2) اسم مجرور بحرف الجر وعلامة جره الكسرة
3) فعل أمر مبني على السكون
4) حرف جر مبني على الكسر
5) فعل ماض مبنى على الفتح المقدر

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ

الخيارات:
1) مضاف إليه مجرور وعلامة جره الكسرة
2) اسم مجرور بحرف الجر وعلامة جره الكسرة
3) فعل أمر مبني على السكون
4) حرف جر مبني على الكسر
5) فعل ماض مبنى على الفتح المقدر

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.5277695655822754,0.24437955021858215,0.7081038355827332,4,179,0.5277695655822754,0.1462915539741516,0.021251656115055084,0.021297266706824303,0.28339001536369324,0,0.47621995210647583,0.1458829641342163,0.7400772571563721,4,179,0.47621995210647583,0.13764901459217072,0.02334245666861534,0.03245152160525322,0.3303369879722595,3,0.5333968997001648,0.34058237075805664,0.7778480052947998,0,179,0.19281451404094696,0.03415841981768608,0.06657253950834274,0.5333968997001648,0.1730576753616333,False,False,False,False,False,False,False
ammlu_8479,8479,Geography,High,Jordan,زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:,,البيئية,الصحية,الاجتماعية,الاقتصادية,,4,1,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:

الخيارات:
1) البيئية
2) الصحية
3) الاجتماعية
4) الاقتصادية

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:

الخيارات:
1) البيئية
2) الصحية
3) الاجتماعية
4) الاقتصادية

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",3,0.8415092825889587,0.6924609541893005,0.34450072050094604,0,94,0.1490483283996582,0.0018232876900583506,0.0076191178523004055,0.8415092825889587,0.0,3,0.7930673956871033,0.5985766053199768,0.40616825222969055,0,94,0.19449080526828766,0.0024459257256239653,0.009995839558541775,0.7930673956871033,0.0,3,0.9551368951797485,0.9313085675239563,0.16224795579910278,2,94,0.016617296263575554,0.00441743666306138,0.02382834069430828,0.9551368951797485,0.0,False,False,False,False,False,False,False
ammlu_4586,4586,General Knowledge,,,"من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟",,أبو الحسن بن زنباع,البهاء زهير,-الخليل بن أحمد الجزي,أبو جندل الهوازني,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟

الخيارات:
1) أبو الحسن بن زنباع
2) البهاء زهير
3) -الخليل بن أحمد الجزي
4) أبو جندل الهوازني

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟

الخيارات:
1) أبو الحسن بن زنباع
2) البهاء زهير
3) -الخليل بن أحمد الجزي
4) أبو جندل الهوازني

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",3,0.4894826114177704,0.031129956245422363,0.6380412578582764,0,148,0.458352655172348,0.008503754623234272,0.04366094619035721,0.4894826114177704,0.0,3,0.5331882238388062,0.13498729467391968,0.6574550867080688,0,148,0.3982009291648865,0.008459574542939663,0.06015123054385185,0.5331882238388062,0.0,3,0.9750760197639465,0.9633280634880066,0.10186194628477097,0,148,0.011747973039746284,0.0032380216289311647,0.009938032366335392,0.9750760197639465,0.0,False,False,False,False,False,False,False
ammlu_4216,4216,General Knowledge,,,ما هي أسرع سمكة بحرية؟,,الدولفين.,الحوت الأزرق.,سمكة التونة العنيدة.,أبو منشار.,,4,3,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما هي أسرع سمكة بحرية؟

الخيارات:
1) الدولفين.
2) الحوت الأزرق.
3) سمكة التونة العنيدة.
4) أبو منشار.

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما هي أسرع سمكة بحرية؟

الخيارات:
1) الدولفين.
2) الحوت الأزرق.
3) سمكة التونة العنيدة.
4) أبو منشار.

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.8688426613807678,0.7870070338249207,0.36041751503944397,2,90,0.8688426613807678,0.009540394879877567,0.08183560520410538,0.03978138044476509,0.0,0,0.8275957107543945,0.7201822996139526,0.4345540702342987,2,90,0.8275957107543945,0.010361908935010433,0.10741341859102249,0.054628871381282806,0.0,3,0.9378892183303833,0.9029001593589783,0.2082250863313675,2,90,0.02183927223086357,0.005282413214445114,0.034989070147275925,0.9378892183303833,0.0,False,False,True,False,False,False,True
ammlu_7803,7803,Computer Science,High,Jordan,واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :,,الاعتداء عن طريق كود بسيط,تقديم عروض شراء بعض المنتجات باسعار زهيده,رسائل تحمل عنوان كيف تصبح ثريا,رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :

الخيارات:
1) الاعتداء عن طريق كود بسيط
2) تقديم عروض شراء بعض المنتجات باسعار زهيده
3) رسائل تحمل عنوان كيف تصبح ثريا
4) رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :

الخيارات:
1) الاعتداء عن طريق كود بسيط
2) تقديم عروض شراء بعض المنتجات باسعار زهيده
3) رسائل تحمل عنوان كيف تصبح ثريا
4) رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.737058162689209,0.4852951765060425,0.4536125063896179,3,147,0.737058162689209,0.0029877894558012486,0.008190976455807686,0.2517629861831665,0.0,0,0.6560648679733276,0.32602179050445557,0.5119063854217529,3,147,0.6560648679733276,0.00351033266633749,0.010381695814430714,0.33004307746887207,0.0,3,0.9437910914421082,0.9171773195266724,0.1959887593984604,2,147,0.02240440435707569,0.007190748583525419,0.026613781228661537,0.9437910914421082,0.0,True,True,False,False,True,False,False
ammlu_14402,14402,Civics,Middle,Jordan,من المناطق المنكوبة في العالم التي قامت القوات المسلحة بتسيير المستشفيات العسكري إليها هي,,اليمن,سوريا,العراق,ليبيا,,4,2,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من المناطق المنكوبة في العالم التي قامت القوات المسلحة بتسيير المستشفيات العسكري إليها هي

الخيارات:
1) اليمن
2) سوريا
3) العراق
4) ليبيا

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من المناطق المنكوبة في العالم التي قامت القوات المسلحة بتسيير المستشفيات العسكري إليها هي

الخيارات:
1) اليمن
2) سوريا
3) العراق
4) ليبيا

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.48910149931907654,0.014011651277542114,0.6005370020866394,3,89,0.48910149931907654,0.002834816463291645,0.03297390416264534,0.4750898480415344,0.0,3,0.5207998156547546,0.08468645811080933,0.6115224361419678,0,89,0.4361133575439453,0.002885484369471669,0.04020131006836891,0.5207998156547546,0.0,3,0.9842063188552856,0.9748440384864807,0.06884527951478958,2,89,0.004853785969316959,0.0015776610234752297,0.00936227198690176,0.9842063188552856,0.0,False,False,False,False,False,False,False
ammlu_3742,3742,General Knowledge,,,أصغر عظمة في جسم الإنسان هي العظم الركابي فأين توجد؟,,في الأنف,في اليد,في الإذن,في القدم,,4,2,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
أصغر عظمة في جسم الإنسان هي العظم الركابي فأين توجد؟

الخيارات:
1) في الأنف
2) في اليد
3) في الإذن
4) في القدم

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
أصغر عظمة في جسم الإنسان هي العظم الركابي فأين توجد؟

الخيارات:
1) في الأنف
2) في اليد
3) في الإذن
4) في القدم

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",3,0.5890416502952576,0.2116881012916565,0.5772630572319031,0,97,0.3773535490036011,0.0016964932437986135,0.0319083109498024,0.5890416502952576,0.0,3,0.6603603363037109,0.3643719553947449,0.5614134669303894,0,97,0.29598838090896606,0.0017091247718781233,0.04194214195013046,0.6603603363037109,0.0,3,0.8930149078369141,0.843359649181366,0.31880053877830505,2,97,0.04641636833548546,0.0109134865924716,0.04965526983141899,0.8930149078369141,0.0,False,False,False,False,False,False,False
ammlu_7949,7949,Geography,Middle,Jordan,…….. تغير في الخصائص الاجتماعية والثقافية لسكان المدينة من حيث نمط حياتهم وسلوكهم وعاداتهم ,,التحضر,التمدن,الريف,الهجرة,,4,1,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
…….. تغير في الخصائص الاجتماعية والثقافية لسكان المدينة من حيث نمط حياتهم وسلوكهم وعاداتهم

الخيارات:
1) التحضر
2) التمدن
3) الريف
4) الهجرة

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
…….. تغير في الخصائص الاجتماعية والثقافية لسكان المدينة من حيث نمط حياتهم وسلوكهم وعاداتهم

الخيارات:
1) التحضر
2) التمدن
3) الريف
4) الهجرة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",3,0.5760160088539124,0.22837689518928528,0.6695085763931274,0,102,0.3476391136646271,0.053383614867925644,0.022961275652050972,0.5760160088539124,0.0,3,0.6728048920631409,0.4083307683467865,0.6000392436981201,0,102,0.26447412371635437,0.0420367531478405,0.0206842590123415,0.6728048920631409,0.0,3,0.9555655717849731,0.9326306581497192,0.16243040561676025,2,102,0.015623334795236588,0.005876248236745596,0.022934917360544205,0.9555655717849731,0.0,False,False,False,False,False,False,False
