item_id,condition,n_options,gold,order,model_prompt,Subject,Level,Country,Question,Context,Option 1,Option 2,Option 3,Option 4,Option 5,f16_pred,f16_confidence,f16_margin,f16_entropy,f16_token_length,f16_p1,f16_p2,f16_p3,f16_p4,f16_p5,q4km_pred,q4km_confidence,q4km_margin,q4km_entropy,q4km_token_length,q4km_p1,q4km_p2,q4km_p3,q4km_p4,q4km_p5,f16_correct,q4km_correct,q4km_correct_to_wrong,q4km_wrong_to_correct
ammlu_13241,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...

الخيارات:
1) كتاب الوحي
2) الخلفاء الراشدين
3) المهاجرين
4) الأنصار

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,Primary,Jordan, سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...,,كتاب الوحي ,الخلفاء الراشدين ,المهاجرين,الأنصار,,0,0.5198668449183702,0.073265770955378,0.5921523752494476,96,0.5198668449183702,0.4466010739629922,0.03175154236641354,0.0017805387522239475,0.0,1,0.8707844049152275,0.7731037352562177,0.33964420051936867,96,0.0976806696590098,0.8707844049152275,0.005218742702786795,0.02631618272297592,0.0,True,False,True,False
ammlu_4586,permuted,4,0,"[0, 2, 3, 1]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟

الخيارات:
1) أبو الحسن بن زنباع
2) -الخليل بن أحمد الجزي
3) أبو جندل الهوازني
4) البهاء زهير

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",General Knowledge,,,"من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟",,أبو الحسن بن زنباع,البهاء زهير,-الخليل بن أحمد الجزي,أبو جندل الهوازني,,0,0.6543585150685461,0.43886271271959754,0.6938988988601283,148,0.6543585150685461,0.076169238069251,0.05397644451325435,0.21549580234894858,0.0,3,0.5755652380022497,0.18403362938410522,0.5903966905769092,148,0.39153160861814446,0.021782987014214394,0.011120166365391473,0.5755652380022497,0.0,True,False,True,False
ammlu_7803,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :

الخيارات:
1) الاعتداء عن طريق كود بسيط
2) تقديم عروض شراء بعض المنتجات باسعار زهيده
3) رسائل تحمل عنوان كيف تصبح ثريا
4) رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Computer Science,High,Jordan,واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :,,الاعتداء عن طريق كود بسيط,تقديم عروض شراء بعض المنتجات باسعار زهيده,رسائل تحمل عنوان كيف تصبح ثريا,رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات,,0,0.7391739737456929,0.4894365030472886,0.45172405783268227,147,0.7391739737456929,0.002963401471616356,0.008125154084286478,0.24973747069840435,0.0,3,0.755999799569748,0.5194364745862468,0.42798240405121957,147,0.23656332498350136,0.002051207112909866,0.0053856683338407395,0.755999799569748,0.0,True,False,True,False
ammlu_9396,original,3,2,"[0, 1, 2]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
الساعة التالية للساعة الخامسة

الخيارات:
1) الرابعة
2) الثالثة
3) السادسة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Math,Primary,Palestine,الساعة التالية للساعة الخامسة,,الرابعة,الثالثة,السادسة,,,2,0.5078194435684747,0.10514842987880069,0.8432641696847555,77,0.40267101368967406,0.08950954274185122,0.5078194435684747,0.0,0.0,1,0.49943869295374704,0.07925080825173825,0.8316837409430045,77,0.08037342234424424,0.49943869295374704,0.4201878847020088,0.0,0.0,True,False,True,False
ammlu_9396,permuted,3,0,"[2, 1, 0]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
الساعة التالية للساعة الخامسة

الخيارات:
1) السادسة
2) الثالثة
3) الرابعة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Math,Primary,Palestine,الساعة التالية للساعة الخامسة,,الرابعة,الثالثة,السادسة,,,0,0.7147307928222074,0.46640471319394416,0.6442814433575033,77,0.7147307928222074,0.036943127549529296,0.24832607962826325,0.0,0.0,2,0.4999223171430446,0.20554562688727718,0.9392492032694232,77,0.2943766902557674,0.20570099260118807,0.4999223171430446,0.0,0.0,True,False,True,False
ammlu_13282,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
حكم صلاة الاستسقاء

الخيارات:
1) سنة مؤكدة
2) فرض
3) واجب
4) مستحب

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,Primary,Jordan,حكم صلاة الاستسقاء,,سنة مؤكدة,فرض,واجب,مستحب,,0,0.5961947013046188,0.27333823668781304,0.6714047506864169,82,0.5961947013046188,0.049856014814601037,0.03109281926397437,0.3228564646168058,0.0,3,0.9307716007267983,0.8978748464975117,0.23082881259358423,82,0.03289675422928661,0.027223721819533808,0.009107923224381193,0.9307716007267983,0.0,True,False,True,False
ammlu_7760,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
مفتاح التشفيرفي خوارزمية الخط المتعرج هو :

الخيارات:
1) عدد الأسطر
2) عدد الأعمدة
3) عدد الحروف
4) أ+ب

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Computer Science,High,Jordan,مفتاح التشفيرفي خوارزمية الخط المتعرج هو :,,عدد الأسطر,عدد الأعمدة,عدد الحروف,أ+ب,,0,0.8049147126745783,0.6178040068571938,0.383364592352053,94,0.8049147126745783,0.0021393404937864987,0.005835241014250831,0.18711070581738443,0.0,3,0.8317884010232204,0.6807498907269726,0.374616111831472,94,0.15103851029624785,0.011580673012823528,0.005592415667708202,0.8317884010232204,0.0,True,False,True,False
ammlu_7760,permuted,4,0,"[0, 3, 2, 1]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
مفتاح التشفيرفي خوارزمية الخط المتعرج هو :

الخيارات:
1) عدد الأسطر
2) أ+ب
3) عدد الحروف
4) عدد الأعمدة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Computer Science,High,Jordan,مفتاح التشفيرفي خوارزمية الخط المتعرج هو :,,عدد الأسطر,عدد الأعمدة,عدد الحروف,أ+ب,,0,0.5886860989451752,0.18078135901442616,0.5044909721092723,94,0.5886860989451752,0.0013910895882124582,0.002018071535863256,0.40790473993074905,0.0,3,0.8467764462091864,0.7067781673084476,0.3459461600587149,94,0.13999827890073882,0.010809869408568186,0.0024154054815066096,0.8467764462091864,0.0,True,False,True,False
ammlu_13700,permuted,3,0,"[2, 1, 0]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
عندما أحل واجباتي فإنني

الخيارات:
1) أعتمد على نفسي
2) لا أحله
3) أعطيه لأمي لتحله

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,Primary,Palestine,عندما أحل واجباتي فإنني,,أعطيه لأمي لتحله,لا أحله,أعتمد على نفسي,,,0,0.8330600650309574,0.6784259370224751,0.45050432797458445,90,0.8330600650309574,0.012305806960560405,0.15463412800848234,0.0,0.0,2,0.8512673084568588,0.7245237144093943,0.4394780309630583,90,0.12674359404746455,0.0219890974956767,0.8512673084568588,0.0,0.0,True,False,True,False
ammlu_705,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الدوّار، إذا لم يكن هناك أي عامل يتحكم بحركة المرور ولا إشارة مرور، من له حق الأولوية؟

الخيارات:
1) المركبات القادمة من اليسار
2) المركبات القادمة من الأمام
3) المركبات القادمة من الخلف
4) المركبات القادمة من اليمين

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Driving Test,,UAE,في الدوّار، إذا لم يكن هناك أي عامل يتحكم بحركة المرور ولا إشارة مرور، من له حق الأولوية؟,,المركبات القادمة من اليسار,المركبات القادمة من الأمام,المركبات القادمة من الخلف,المركبات القادمة من اليمين,,0,0.687484110702942,0.4068493421410885,0.5301880588599152,130,0.687484110702942,0.0034501122252115026,0.028431008509992955,0.28063476856185354,0.0,3,0.7723483304381424,0.5723051798694877,0.45617277470646955,130,0.20004315056865477,0.004250851727436887,0.02335766726576588,0.7723483304381424,0.0,True,False,True,False
