item_id,condition,n_options,gold,order,model_prompt,Subject,Level,Country,Question,Context,Option 1,Option 2,Option 3,Option 4,Option 5,f16_pred,f16_confidence,f16_margin,f16_entropy,f16_token_length,f16_p1,f16_p2,f16_p3,f16_p4,f16_p5,q4km_pred,q4km_confidence,q4km_margin,q4km_entropy,q4km_token_length,q4km_p1,q4km_p2,q4km_p3,q4km_p4,q4km_p5,f16_correct,q4km_correct,q4km_correct_to_wrong,q4km_wrong_to_correct
ammlu_490,original,4,2,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما اسم أم النبي اسماعيل عليه السلام؟

الخيارات:
1) مريم
2) مريم
3) هاجر
4) سارة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,,,ما اسم أم النبي اسماعيل عليه السلام؟,,مريم,مريم,هاجر,سارة,,0,0.8541596294501818,0.7479017887834583,0.37220708368670313,82,0.8541596294501818,0.005147059946390917,0.10625784066672356,0.034435469936703815,0.0,0,0.6770075151586501,0.4571889424779744,0.6493316429812657,82,0.6770075151586501,0.03964456535194988,0.06352934680872438,0.21981857268067567,0.0,False,False,False,False
ammlu_490,permuted,4,2,"[3, 1, 2, 0]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
ما اسم أم النبي اسماعيل عليه السلام؟

الخيارات:
1) سارة
2) مريم
3) هاجر
4) مريم

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,,,ما اسم أم النبي اسماعيل عليه السلام؟,,مريم,مريم,هاجر,سارة,,3,0.8093184771431455,0.6638354555700273,0.4423870501135876,82,0.14548302157311818,0.008361062119836931,0.03683743916389951,0.8093184771431455,0.0,3,0.8577162017776492,0.7429650090173653,0.3579994758737467,82,0.11475119276028391,0.018660012802185558,0.008872592659881402,0.8577162017776492,0.0,False,False,False,False
ammlu_13241,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...

الخيارات:
1) كتاب الوحي
2) الخلفاء الراشدين
3) المهاجرين
4) الأنصار

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,Primary,Jordan, سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...,,كتاب الوحي ,الخلفاء الراشدين ,المهاجرين,الأنصار,,0,0.5198668449183702,0.073265770955378,0.5921523752494476,96,0.5198668449183702,0.4466010739629922,0.03175154236641354,0.0017805387522239475,0.0,1,0.8707844049152275,0.7731037352562177,0.33964420051936867,96,0.0976806696590098,0.8707844049152275,0.005218742702786795,0.02631618272297592,0.0,True,False,True,False
ammlu_13241,permuted,4,0,"[0, 3, 1, 2]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...

الخيارات:
1) كتاب الوحي
2) الأنصار
3) الخلفاء الراشدين
4) المهاجرين

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Islamic Studies,Primary,Jordan, سمي الصحابة الذين كلفهم الرسول بكتابة القرآن الكريم: ...,,كتاب الوحي ,الخلفاء الراشدين ,المهاجرين,الأنصار,,2,0.6220059254712585,0.2730975475164876,0.5661438188601859,96,0.3489083779547709,0.010898266756892431,0.6220059254712585,0.018187429817078167,0.0,2,0.9770476644614547,0.9622902955544581,0.0912532547907705,96,0.014757368906996594,0.007561849171378183,0.9770476644614547,0.0006331174601705977,0.0,False,False,False,False
ammlu_12640,original,5,2,"[0, 1, 2, 3, 4]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ

الخيارات:
1) مضاف إليه مجرور وعلامة جره الكسرة
2) اسم مجرور بحرف الجر وعلامة جره الكسرة
3) فعل أمر مبني على السكون
4) حرف جر مبني على الكسر
5) فعل ماض مبنى على الفتح المقدر

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Arabic Language (Grammar),,,"في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ",,مضاف إليه مجرور وعلامة جره الكسرة,اسم مجرور بحرف الجر وعلامة جره الكسرة,فعل أمر مبني على السكون,حرف جر مبني على الكسر,فعل ماض مبنى على الفتح المقدر,0,0.5265385795042622,0.2159912963520899,0.6974703917098891,179,0.5265385795042622,0.11860949613296541,0.0214729704636743,0.022831670746925836,0.3105472831521723,1,0.584461127404581,0.3535632506544145,0.6718460486250712,179,0.23089787675016646,0.584461127404581,0.01541011912115117,0.021285056636894742,0.14794582008720664,False,False,False,False
ammlu_12640,permuted,5,3,"[4, 3, 1, 2, 0]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ

الخيارات:
1) فعل ماض مبنى على الفتح المقدر
2) حرف جر مبني على الكسر
3) اسم مجرور بحرف الجر وعلامة جره الكسرة
4) فعل أمر مبني على السكون
5) مضاف إليه مجرور وعلامة جره الكسرة

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Arabic Language (Grammar),,,"في الآية القرآنية ﴿اِقْرَأ بِاسْمِ رَبِّكَ الَّذِي خَلَق ﴾ ، ما هو الإعراب الصحيح لكلمة
اِقْرَأ",,مضاف إليه مجرور وعلامة جره الكسرة,اسم مجرور بحرف الجر وعلامة جره الكسرة,فعل أمر مبني على السكون,حرف جر مبني على الكسر,فعل ماض مبنى على الفتح المقدر,4,0.8368139817260009,0.7393279605932179,0.37858914202854327,179,0.09748602113278292,0.004595452700043944,0.01884183984376841,0.0422627045974039,0.8368139817260009,4,0.9368829527292126,0.9091177810644598,0.19181850574318193,179,0.024014412413230317,0.005039371693729673,0.027765171664752814,0.006298091499074527,0.9368829527292126,False,False,False,False
ammlu_8479,original,4,1,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:

الخيارات:
1) البيئية
2) الصحية
3) الاجتماعية
4) الاقتصادية

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Geography,High,Jordan,زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:,,البيئية,الصحية,الاجتماعية,الاقتصادية,,3,0.8387865535823679,0.687108131680401,0.34809757447041023,94,0.1516784219019669,0.0018414609477656941,0.007693563567899557,0.8387865535823679,0.0,3,0.9780597202267703,0.9597106568870973,0.08492389156841644,94,0.018349063339673056,0.0020502945208199703,0.0015409219127367128,0.9780597202267703,0.0,False,False,False,False
ammlu_8479,permuted,4,0,"[1, 3, 0, 2]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:

الخيارات:
1) الصحية
2) الاقتصادية
3) البيئية
4) الاجتماعية

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",Geography,High,Jordan,زيادة المساحات الخضراء والتشجير في المناطق الحضرية هو من فوائد التخطيط:,,البيئية,الصحية,الاجتماعية,الاقتصادية,,2,0.8747180518090452,0.7724937662208269,0.32157006547308725,94,0.10222428558821828,0.0028647889177716977,0.8747180518090452,0.02019287368496496,0.0,3,0.5304111954238542,0.262876280649519,0.7748118522955769,94,0.1835312024018984,0.018522687399912204,0.26753491477433516,0.5304111954238542,0.0,False,False,False,False
ammlu_4586,original,4,0,"[0, 1, 2, 3]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟

الخيارات:
1) أبو الحسن بن زنباع
2) البهاء زهير
3) -الخليل بن أحمد الجزي
4) أبو جندل الهوازني

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",General Knowledge,,,"من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟",,أبو الحسن بن زنباع,البهاء زهير,-الخليل بن أحمد الجزي,أبو جندل الهوازني,,3,0.4878913464718486,0.027928314537622234,0.6381576107203147,148,0.4599630319342264,0.008569384505097949,0.04357623708882694,0.4878913464718486,0.0,3,0.8797081485368798,0.761622572202823,0.2741432460981687,148,0.11808557633405678,0.0011126540276753364,0.0010936211013879945,0.8797081485368798,0.0,False,False,False,False
ammlu_4586,permuted,4,0,"[0, 2, 3, 1]","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟

الخيارات:
1) أبو الحسن بن زنباع
2) -الخليل بن أحمد الجزي
3) أبو جندل الهوازني
4) البهاء زهير

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",General Knowledge,,,"من القائل:
أبدت لنا الأيام زهرة طيبها***وتسربلت بنضيرها وقشيبها
واهتز عطف الأرض بعد خشوعها***وبدت بها النعماء بعد شحوبها؟",,أبو الحسن بن زنباع,البهاء زهير,-الخليل بن أحمد الجزي,أبو جندل الهوازني,,0,0.6543585150685461,0.43886271271959754,0.6938988988601283,148,0.6543585150685461,0.076169238069251,0.05397644451325435,0.21549580234894858,0.0,3,0.5755652380022497,0.18403362938410522,0.5903966905769092,148,0.39153160861814446,0.021782987014214394,0.011120166365391473,0.5755652380022497,0.0,True,False,True,False
