item_id,source_row,Subject,Level,Country,Question,Context,Option 1,Option 2,Option 3,Option 4,Option 5,n_options,gold,prompt,model_prompt,ref_pred,ref_confidence,ref_margin,ref_entropy,ref_top2,ref_token_length,ref_p1,ref_p2,ref_p3,ref_p4,ref_p5,w8_pred,w8_confidence,w8_margin,w8_entropy,w8_top2,w8_token_length,w8_p1,w8_p2,w8_p3,w8_p4,w8_p5,w4_pred,w4_confidence,w4_margin,w4_entropy,w4_top2,w4_token_length,w4_p1,w4_p2,w4_p3,w4_p4,w4_p5,ref_correct,w8_correct,w4_correct,w8_correct_to_wrong,w4_correct_to_wrong,w8_wrong_to_correct,w4_wrong_to_correct,gold_human,ref_human,w4_human
ammlu_10676,10676,Biology,High,Egypt,يتم بناء الريبوسومات علي مرحلتين اولا بناء البروتين في السيتوبلازم ثانيا دخول البروتين الي النواه ويرتبط بrRNAحيث يخرج في صوره وحدتين,,صح,خطأ,,,,2,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
يتم بناء الريبوسومات علي مرحلتين اولا بناء البروتين في السيتوبلازم ثانيا دخول البروتين الي النواه ويرتبط بrRNAحيث يخرج في صوره وحدتين

الخيارات:
1) صح
2) خطأ

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
يتم بناء الريبوسومات علي مرحلتين اولا بناء البروتين في السيتوبلازم ثانيا دخول البروتين الي النواه ويرتبط بrRNAحيث يخرج في صوره وحدتين

الخيارات:
1) صح
2) خطأ

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.5726962089538574,0.14539235830307007,0.9846972227096558,1,117,0.5726962089538574,0.42730385065078735,0.0,0.0,0.0,0,0.6441599726676941,0.2883199453353882,0.9391759037971497,1,117,0.6441599726676941,0.3558400273323059,0.0,0.0,0.0,1,0.9956514239311218,0.9913027882575989,0.04037608578801155,0,117,0.00434864591807127,0.9956514239311218,0.0,0.0,0.0,True,True,False,False,True,False,False,1,1,2
ammlu_6155,6155,Social Science,Primary,Palestine,يظهر في خريطة فلسطين ثلاث جهات أصلية,,صح,خطأ,,,,2,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
يظهر في خريطة فلسطين ثلاث جهات أصلية

الخيارات:
1) صح
2) خطأ

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
يظهر في خريطة فلسطين ثلاث جهات أصلية

الخيارات:
1) صح
2) خطأ

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.6318720579147339,0.26374414563179016,0.9492238163948059,1,77,0.6318720579147339,0.3681279122829437,0.0,0.0,0.0,0,0.6586191058158875,0.3172381818294525,0.9261340498924255,1,77,0.6586191058158875,0.34138092398643494,0.0,0.0,0.0,1,0.9874338507652283,0.9748677015304565,0.09736119210720062,0,77,0.01256611943244934,0.9874338507652283,0.0,0.0,0.0,True,True,False,False,True,False,False,1,1,2
ammlu_3798,3798,General Knowledge,,,العلم الذي سماه العرب(علم الحجر) هو علم ….؟,,الكيمياء,الفيزياء,الصيدلة,الطب,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
العلم الذي سماه العرب(علم الحجر) هو علم ….؟

الخيارات:
1) الكيمياء
2) الفيزياء
3) الصيدلة
4) الطب

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
العلم الذي سماه العرب(علم الحجر) هو علم ….؟

الخيارات:
1) الكيمياء
2) الفيزياء
3) الصيدلة
4) الطب

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.819633424282074,0.7246420383453369,0.4713977873325348,2,91,0.819633424282074,0.032624706625938416,0.09499135613441467,0.052750587463378906,0.0,0,0.7474631071090698,0.6206477284431458,0.5763331055641174,3,91,0.7474631071090698,0.02233797311782837,0.10338354855775833,0.12681539356708527,0.0,3,0.9770340323448181,0.9589065909385681,0.08941823989152908,2,91,0.003584817750379443,0.0012536459835246205,0.018127452582120895,0.9770340323448181,0.0,True,True,False,False,True,False,False,1,1,4
ammlu_705,705,Driving Test,,UAE,في الدوّار، إذا لم يكن هناك أي عامل يتحكم بحركة المرور ولا إشارة مرور، من له حق الأولوية؟,,المركبات القادمة من اليسار,المركبات القادمة من الأمام,المركبات القادمة من الخلف,المركبات القادمة من اليمين,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الدوّار، إذا لم يكن هناك أي عامل يتحكم بحركة المرور ولا إشارة مرور، من له حق الأولوية؟

الخيارات:
1) المركبات القادمة من اليسار
2) المركبات القادمة من الأمام
3) المركبات القادمة من الخلف
4) المركبات القادمة من اليمين

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
في الدوّار، إذا لم يكن هناك أي عامل يتحكم بحركة المرور ولا إشارة مرور، من له حق الأولوية؟

الخيارات:
1) المركبات القادمة من اليسار
2) المركبات القادمة من الأمام
3) المركبات القادمة من الخلف
4) المركبات القادمة من اليمين

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.6849488019943237,0.4020995497703552,0.5323549509048462,3,130,0.6849488019943237,0.0034562963992357254,0.02874557301402092,0.2828492522239685,0.0,0,0.6512131094932556,0.34203246235847473,0.5643175840377808,3,130,0.6512131094932556,0.003654065076261759,0.03595220670104027,0.3091806471347809,0.0,3,0.9716575145721436,0.9552544355392456,0.11129193007946014,2,130,0.009490078315138817,0.002449279185384512,0.016403062269091606,0.9716575145721436,0.0,True,True,False,False,True,False,False,1,1,4
ammlu_9788,9788,Biology,High,Palestine, العالم الذي حدد التركيب الأساسي للنيوكليوتيدات,,ليفين,ايفيري,مندل,هيرشي,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
العالم الذي حدد التركيب الأساسي للنيوكليوتيدات

الخيارات:
1) ليفين
2) ايفيري
3) مندل
4) هيرشي

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
العالم الذي حدد التركيب الأساسي للنيوكليوتيدات

الخيارات:
1) ليفين
2) ايفيري
3) مندل
4) هيرشي

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.5875282883644104,0.2140113115310669,0.5952823162078857,3,91,0.5875282883644104,0.007111052051186562,0.0318436399102211,0.3735169768333435,0.0,3,0.4966171681880951,0.035268634557724,0.6174107193946838,0,91,0.4613485336303711,0.006554390303790569,0.03547989949584007,0.4966171681880951,0.0,3,0.9691261649131775,0.9476653933525085,0.1171705350279808,2,91,0.006669541355222464,0.0027435170486569405,0.021460767835378647,0.9691261649131775,0.0,True,False,False,True,True,False,False,1,1,4
ammlu_515,515,Islamic Studies,,,بماذا لقب اسماعيل عليه السلام؟,,الذبيح,اسرائيل,خليفة الله,الصديق,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
بماذا لقب اسماعيل عليه السلام؟

الخيارات:
1) الذبيح
2) اسرائيل
3) خليفة الله
4) الصديق

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
بماذا لقب اسماعيل عليه السلام؟

الخيارات:
1) الذبيح
2) اسرائيل
3) خليفة الله
4) الصديق

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.6323843598365784,0.298107385635376,0.5676790475845337,3,86,0.6323843598365784,0.007277151104062796,0.026061423122882843,0.3342769742012024,0.0,0,0.5144088864326477,0.05990836024284363,0.5945608615875244,3,86,0.5144088864326477,0.006529651116579771,0.02456085942685604,0.4545005261898041,0.0,3,0.9665645956993103,0.9456015229225159,0.1265222132205963,2,86,0.009522129781544209,0.0029502122197300196,0.020963046699762344,0.9665645956993103,0.0,True,True,False,False,True,False,False,1,1,4
ammlu_3686,3686,General Knowledge,,,من أول من أخترع بارود البنادق؟,,العرب,الصينيون,الروم,الفرس,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من أول من أخترع بارود البنادق؟

الخيارات:
1) العرب
2) الصينيون
3) الروم
4) الفرس

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
من أول من أخترع بارود البنادق؟

الخيارات:
1) العرب
2) الصينيون
3) الروم
4) الفرس

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.5364679098129272,0.12161785364151001,0.6220370531082153,3,85,0.5364679098129272,0.004994839895516634,0.04368719458580017,0.41485005617141724,0.0,3,0.4829449951648712,0.02854740619659424,0.6505534052848816,0,85,0.454397588968277,0.005383957643061876,0.05727338418364525,0.4829449951648712,0.0,3,0.9615736603736877,0.9409326910972595,0.14275790750980377,2,85,0.01453013252466917,0.0032552843913435936,0.020640967413783073,0.9615736603736877,0.0,True,False,False,True,True,False,False,1,1,4
ammlu_7147,7147,Philosophy,High,Egypt,"كمن يظل مغمض عينيه ال يحاول أن يفتحهما "" .12 يقول ""ديكارت"" :"" إن المرء الذي يحيا دون تفلسف لهو حقً يدل قول ديكارت علي أن الفلسفة.",,تقاوم العقل وأحكامه .,تؤدي إلي جمود العقل .,تعطي الفرد معني للحياة .,تبحث عن العلل القريبة للظواهر,,4,2,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
كمن يظل مغمض عينيه ال يحاول أن يفتحهما "" .12 يقول ""ديكارت"" :"" إن المرء الذي يحيا دون تفلسف لهو حقً يدل قول ديكارت علي أن الفلسفة.

الخيارات:
1) تقاوم العقل وأحكامه .
2) تؤدي إلي جمود العقل .
3) تعطي الفرد معني للحياة .
4) تبحث عن العلل القريبة للظواهر

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
كمن يظل مغمض عينيه ال يحاول أن يفتحهما "" .12 يقول ""ديكارت"" :"" إن المرء الذي يحيا دون تفلسف لهو حقً يدل قول ديكارت علي أن الفلسفة.

الخيارات:
1) تقاوم العقل وأحكامه .
2) تؤدي إلي جمود العقل .
3) تعطي الفرد معني للحياة .
4) تبحث عن العلل القريبة للظواهر

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",2,0.5136857032775879,0.21895840764045715,0.7463158965110779,0,155,0.29472729563713074,0.003079436020925641,0.5136857032775879,0.18850748240947723,0.0,2,0.5221396088600159,0.2553219497203827,0.7481665015220642,0,155,0.2668176591396332,0.003312378656119108,0.5221396088600159,0.20773042738437653,0.0,3,0.954321563243866,0.9302846193313599,0.16566094756126404,0,155,0.024036964401602745,0.0056898524053394794,0.01595163717865944,0.954321563243866,0.0,True,True,False,False,True,False,False,3,3,4
ammlu_9970,9970,Biology,High,Jordan,تحدث عملية النسخ في تصنيع البروتين حيث يتكون معقد بدء النسخ وذلك في خطوة يطلق عليها,,بدء النسخ,استطالة النسخ,انتهاء النسخ,معالجة RNA,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
تحدث عملية النسخ في تصنيع البروتين حيث يتكون معقد بدء النسخ وذلك في خطوة يطلق عليها

الخيارات:
1) بدء النسخ
2) استطالة النسخ
3) انتهاء النسخ
4) معالجة RNA

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
تحدث عملية النسخ في تصنيع البروتين حيث يتكون معقد بدء النسخ وذلك في خطوة يطلق عليها

الخيارات:
1) بدء النسخ
2) استطالة النسخ
3) انتهاء النسخ
4) معالجة RNA

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.9791454076766968,0.9674030542373657,0.08635874837636948,1,112,0.9791454076766968,0.011742361821234226,0.0015046485932543874,0.007607599254697561,0.0,0,0.9737695455551147,0.9601277709007263,0.10431773215532303,3,112,0.9737695455551147,0.010841253213584423,0.0017473999178037047,0.013641775585711002,0.0,3,0.9521064162254333,0.922787070274353,0.17071318626403809,2,112,0.01135292835533619,0.007221344392746687,0.029319332912564278,0.9521064162254333,0.0,True,True,False,False,True,False,False,1,1,4
ammlu_7803,7803,Computer Science,High,Jordan,واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :,,الاعتداء عن طريق كود بسيط,تقديم عروض شراء بعض المنتجات باسعار زهيده,رسائل تحمل عنوان كيف تصبح ثريا,رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات,,4,0,"أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :

الخيارات:
1) الاعتداء عن طريق كود بسيط
2) تقديم عروض شراء بعض المنتجات باسعار زهيده
3) رسائل تحمل عنوان كيف تصبح ثريا
4) رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات

الإجابة الصحيحة هي الخيار رقم:","<|im_start|>user
أجب عن السؤال التالي باختيار رقم واحد فقط من الخيارات، ولا تكتب أي شرح.

السؤال:
واحدة مما يلي لا تعد مثالا على الاعتداءات الالكترونية على البريد الالكتروني :

الخيارات:
1) الاعتداء عن طريق كود بسيط
2) تقديم عروض شراء بعض المنتجات باسعار زهيده
3) رسائل تحمل عنوان كيف تصبح ثريا
4) رسائل تحتوي روابط يتم الضغط عليها للحصول على المزيد من المعلومات

الإجابة الصحيحة هي الخيار رقم:<|im_end|>
<|im_start|>assistant
<think>

</think>

",0,0.737058162689209,0.4852951765060425,0.4536125063896179,3,147,0.737058162689209,0.0029877894558012486,0.008190976455807686,0.2517629861831665,0.0,0,0.6560648679733276,0.32602179050445557,0.5119063854217529,3,147,0.6560648679733276,0.00351033266633749,0.010381695814430714,0.33004307746887207,0.0,3,0.9437910914421082,0.9171773195266724,0.1959887593984604,2,147,0.02240440435707569,0.007190748583525419,0.026613781228661537,0.9437910914421082,0.0,True,True,False,False,True,False,False,1,1,4
